date,sku_id,units_sold,selling_price,gross_revenue,promo_flag,discount_pct,month,week_of_year,day_of_week,is_weekend,is_festival_month,is_payday_period,season_tag,holiday_flag,weather_index,campaign_intensity,platform_traffic_source,traffic_index,competitor_price_index,competitor_stockout_flag,bundle_offer_flag,stock_visibility_score,rating_score,review_volume,product_visibility_rank,sku_name,category,sub_category,mrp,cost_price,supplier_id,supplier_name,avg_lead_time,lead_time_variability,week,quarter,year,is_month_start,lag_1_week_sales,lag_2_week_sales,lag_4_week_sales,rolling_4w_mean,rolling_4w_std,price_gap,is_promo,is_winter_season,is_summer_season,lead_time_days,lead_time_risk,demand_cv
2024-01-05,SKU0001,37,812.43,30059.91,1,0.21580115830115834,1,1,4,0,0,1,winter,0,1.0936766168423442,1,organic,1.0472198715210046,0.9565714871653648,0,0,0.4148849925985671,4.99,220,20,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,1,1,2024,True,29.0,27.0,28.0,30.0,4.760952285695233,223.57000000000005,True,True,False,10,medium,0.15869840952317443
2024-01-06,SKU0001,47,645.74,30349.78,1,0.3766988416988417,1,1,5,1,0,1,winter,0,0.8940809070869822,1,paid,1.0736895305001666,1.0083728407164971,0,0,0.4734783321652864,4.99,220,6,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,1,1,2024,False,37.0,29.0,27.0,35.0,9.092121131323903,390.26,True,True,False,10,medium,0.25977488946639726
2024-01-07,SKU0001,41,553.64,22699.24,1,0.4655984555984556,1,1,6,1,0,1,winter,0,1.0607481402863674,1,organic,1.0093307088742898,0.9915346670002744,0,1,0.3649093180714609,4.99,220,88,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,1,1,2024,False,47.0,37.0,27.0,38.5,7.54983443527075,482.36,True,True,False,10,medium,0.1960995957213182
2024-01-08,SKU0001,37,864.54,31987.98,1,0.16550193050193054,1,2,0,0,0,0,winter,0,0.9428760623036448,2,affiliate,0.9908323216933634,1.0374524976298076,0,0,0.388910878562055,4.99,220,37,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,2,1,2024,False,41.0,47.0,29.0,40.5,4.72581562625261,171.46000000000004,True,True,False,10,medium,0.11668680558648419
2024-01-09,SKU0001,41,882.67,36189.47,1,0.14800193050193053,1,2,1,0,0,0,winter,0,1.1500760127035083,2,affiliate,1.0463869030169155,0.998370940408578,1,0,0.4098128742252934,4.99,220,14,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,2,1,2024,False,37.0,41.0,37.0,41.5,4.123105625617662,153.33000000000004,True,True,False,10,medium,0.09935194278596776
2024-01-10,SKU0001,20,938.41,18768.2,0,0.09419884169884173,1,2,2,0,0,0,winter,0,1.1662628179092844,0,paid,1.0080618436075337,0.9964623834552812,0,0,0.3716109925151009,4.99,220,52,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,2,1,2024,False,41.0,37.0,47.0,34.75,10.012492197250394,97.59000000000003,True,True,False,10,medium,0.28812927186332066
2024-01-11,SKU0001,33,830.87,27418.71,1,0.1980019305019305,1,2,3,0,0,0,winter,0,0.9197825359514435,1,organic,0.9839905185971916,0.9949327631674936,0,0,0.3681765564756676,4.99,220,115,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,2,1,2024,False,20.0,41.0,41.0,32.75,9.105858919765158,205.13,True,True,False,10,medium,0.27804149373328724
2024-01-12,SKU0001,39,732.14,28553.46,1,0.2933011583011583,1,2,4,0,0,0,winter,0,1.2194383883717297,1,paid,1.002507824661964,1.0130982115634326,0,0,0.3382443874621118,4.99,220,41,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,2,1,2024,False,33.0,20.0,37.0,33.25,9.464847243000456,303.86,True,True,False,10,medium,0.28465705993986334
2024-01-13,SKU0001,39,720.64,28104.96,1,0.30440154440154443,1,2,5,1,0,0,winter,1,0.9714879554851802,0,affiliate,1.0843433843685577,0.994567347317104,0,0,0.4400109763857194,4.99,220,69,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,2,1,2024,False,39.0,33.0,41.0,32.75,8.958236433584458,315.36,True,True,False,10,medium,0.27353393690334227
2024-01-14,SKU0001,26,964.31,25072.06,0,0.06919884169884175,1,2,6,1,0,0,winter,0,1.309291684,0,paid,1.0611648617256222,1.0148260148264292,0,0,0.3793618859050015,4.99,220,73,NovaCharge Cable,Electronics Accessories,Audio,1036,731.48,SUP003,Skyline Imports Pvt. Ltd.,10,2,2,1,2024,False,39.0,39.0,20.0,34.25,6.18465843842649,71.69000000000005,True,True,False,10,medium,0.18057396900515302
