sku_id,date,actual_demand,forecast_demand
SKU0040,2024-10-20,32,34.41
SKU0001,2024-10-20,32,27.17
SKU0016,2024-10-20,32,28.57
SKU0030,2024-10-20,38,37.21
SKU0012,2024-10-20,29,26.5
SKU0007,2024-10-20,38,36.04
SKU0008,2024-10-20,27,26.66
SKU0033,2024-10-20,21,22.9
SKU0014,2024-10-20,31,29.62
SKU0032,2024-10-20,35,34.4
SKU0023,2024-10-20,29,29.56
SKU0029,2024-10-20,24,25.58
SKU0036,2024-10-20,23,24.57
SKU0035,2024-10-20,27,26.7
SKU0018,2024-10-20,36,36.34
SKU0037,2024-10-20,28,29.84
SKU0029,2024-10-21,34,32.3
SKU0016,2024-10-21,32,28.76
SKU0025,2024-10-21,29,28.25
SKU0001,2024-10-21,34,29.11
SKU0020,2024-10-21,41,39.03
SKU0011,2024-10-21,36,34.26
SKU0038,2024-10-21,49,45.4
SKU0033,2024-10-21,42,40.3
SKU0037,2024-10-21,49,44.52
SKU0006,2024-10-21,43,41.39
SKU0015,2024-10-21,26,27.7
SKU0005,2024-10-21,49,45.42
SKU0030,2024-10-21,34,31.18
SKU0003,2024-10-21,37,34.04
SKU0007,2024-10-21,47,44.23
SKU0039,2024-10-21,50,48.35
SKU0028,2024-10-21,45,43.09
SKU0022,2024-10-21,41,39.69
SKU0035,2024-10-21,46,42.25
SKU0018,2024-10-21,41,39.77
SKU0024,2024-10-21,48,44.53
SKU0040,2024-10-21,45,42.38
SKU0031,2024-10-21,30,29.54
SKU0009,2024-10-21,32,31.08
SKU0017,2024-10-21,37,35.18
SKU0004,2024-10-21,41,38.62
SKU0036,2024-10-21,46,42.7
SKU0013,2024-10-21,52,49.2
SKU0019,2024-10-21,49,46.87
SKU0002,2024-10-21,43,39.02
SKU0012,2024-10-21,39,36.45
SKU0026,2024-10-21,38,35.59
SKU0014,2024-10-21,42,40.53
SKU0023,2024-10-21,46,43.51
SKU0027,2024-10-21,36,34.46
SKU0021,2024-10-21,41,39.73
SKU0008,2024-10-21,37,35.68
SKU0034,2024-10-21,51,46.33
SKU0010,2024-10-21,44,40.79
SKU0032,2024-10-21,49,44.24
SKU0017,2024-10-22,32,30.03
SKU0031,2024-10-22,24,26.21
SKU0027,2024-10-22,29,29.95
SKU0036,2024-10-22,19,21.89
SKU0033,2024-10-22,27,25.34
SKU0037,2024-10-22,28,27.7
SKU0001,2024-10-22,29,31.09
SKU0038,2024-10-22,34,36.49
SKU0032,2024-10-22,30,30.49
