date,sku_id,units_sold,selling_price,gross_revenue,promo_flag,discount_pct,month,week_of_year,day_of_week,is_weekend,is_festival_month,is_payday_period,season_tag,holiday_flag,weather_index,campaign_intensity,platform_traffic_source,traffic_index,competitor_price_index,competitor_stockout_flag,bundle_offer_flag,stock_visibility_score,rating_score,review_volume,product_visibility_rank
1/1/24,SKU0001,28,1028.54,28799.12,0,0.0072,1,1,0,0,0,1,winter,0,1.033049540208299,1,affiliate,1.0282201687674113,1.0398965834437546,0,0,0.33296971896132443,4.99,220,14
1/2/24,SKU0001,27,942.76,25454.52,0,0.09,1,1,1,0,0,1,winter,0,1.0758639696118915,0,organic,1.0001235622323663,1.0342134112510981,0,0,0.3325743173746987,4.99,220,26
1/3/24,SKU0001,27,1023.78,27642.06,0,0.0118,1,1,2,0,0,1,winter,0,0.7767387698897935,0,paid,1.0421574613247984,1.0198001608003204,0,0,0.36993766691720353,4.99,220,50
1/4/24,SKU0001,29,940.9,27286.1,0,0.0918,1,1,3,0,0,1,winter,0,1.0292301198538416,0,paid,0.9980359377737498,1.0046566600502917,0,0,0.445269294,4.99,220,42
1/5/24,SKU0001,37,812.43,30059.91,1,0.2158,1,1,4,0,0,1,winter,0,1.0936766168423442,1,organic,1.0472198715210046,0.9565714871653648,0,0,0.41488499259856715,4.99,220,20
1/6/24,SKU0001,47,645.74,30349.78,1,0.3767,1,1,5,1,0,1,winter,0,0.8940809070869822,1,paid,1.0736895305001666,1.0083728407164971,0,0,0.4734783321652864,4.99,220,6
1/7/24,SKU0001,41,553.64,22699.24,1,0.4656,1,1,6,1,0,1,winter,0,1.0607481402863674,1,organic,1.0093307088742898,0.9915346670002744,0,1,0.3649093180714609,4.99,220,88
1/8/24,SKU0001,37,864.54,31987.98,1,0.1655,1,2,0,0,0,0,winter,0,0.9428760623036447,2,affiliate,0.9908323216933634,1.0374524976298076,0,0,0.38891087856205503,4.99,220,37
1/9/24,SKU0001,41,882.67,36189.47,1,0.148,1,2,1,0,0,0,winter,0,1.1500760127035083,2,affiliate,1.0463869030169157,0.9983709404085781,1,0,0.4098128742252934,4.99,220,14
1/10/24,SKU0001,20,938.41,18768.2,0,0.0942,1,2,2,0,0,0,winter,0,1.1662628179092844,0,paid,1.0080618436075337,0.9964623834552813,0,0,0.37161099251510094,4.99,220,52
1/11/24,SKU0001,33,830.87,27418.71,1,0.198,1,2,3,0,0,0,winter,0,0.9197825359514435,1,organic,0.9839905185971916,0.9949327631674937,0,0,0.3681765564756676,4.99,220,115
1/12/24,SKU0001,39,732.14,28553.46,1,0.2933,1,2,4,0,0,0,winter,0,1.2194383883717295,1,paid,1.002507824661964,1.0130982115634326,0,0,0.3382443874621118,4.99,220,41
1/13/24,SKU0001,39,720.64,28104.96,1,0.3044,1,2,5,1,0,0,winter,1,0.9714879554851802,0,affiliate,1.0843433843685577,0.9945673473171041,0,0,0.44001097638571945,4.99,220,69
1/14/24,SKU0001,26,964.31,25072.06,0,0.0692,1,2,6,1,0,0,winter,0,1.309291684,0,paid,1.0611648617256222,1.0148260148264292,0,0,0.37936188590500153,4.99,220,73
1/15/24,SKU0001,23,1033.72,23775.56,0,0.0022,1,3,0,0,0,0,winter,0,0.9262668677703779,0,affiliate,0.9941588988321418,1.0292233771627495,0,0,0.3704001670673172,4.99,220,8
1/16/24,SKU0001,23,1030.09,23692.07,0,0.0057,1,3,1,0,0,0,winter,1,1.0095634471060828,0,paid,0.9491431909701846,1.0046894849994457,0,0,0.38023087523004595,4.99,220,109
1/17/24,SKU0001,28,1015.18,28425.04,0,0.0201,1,3,2,0,0,0,winter,0,1.031978412737603,1,affiliate,1.0502708081973238,1.017197185872488,0,0,0.42812760721553067,4.99,220,63
1/18/24,SKU0001,36,924.11,33267.96,1,0.108,1,3,3,0,0,0,winter,0,0.8873805928201056,1,paid,0.9721030232198772,1.0156169238281882,0,0,0.3052942136906175,4.99,220,69
1/19/24,SKU0001,20,1035.48,20709.6,0,0.0005,1,3,4,0,0,0,winter,0,0.7411930707593404,0,affiliate,1.031697727424215,1.0159643356891215,0,0,0.2924428678914015,4.99,220,64
1/20/24,SKU0001,24,937.48,22499.52,0,0.0951,1,3,5,1,0,0,winter,0,0.880059408,0,paid,1.0034444787970394,0.971142961,0,0,0.42824986328650916,4.99,220,110
1/21/24,SKU0001,25,947.11,23677.75,0,0.0858,1,3,6,1,0,0,winter,0,1.1619408504158775,0,affiliate,1.0333237566455833,0.9864143647403804,0,0,0.3439281811348304,4.99,220,60
1/22/24,SKU0001,43,557.68,23980.24,1,0.4617,1,4,0,0,0,0,winter,0,0.9507000088709824,1,affiliate,0.9739224693459746,1.0096515911284294,1,0,0.37138785507184596,4.99,220,95
1/23/24,SKU0001,38,791.61,30081.18,1,0.2359,1,4,1,0,0,0,winter,0,0.9509940089551484,2,paid,1.0255944245142021,1.0109056334800828,0,0,0.36889954952815557,4.99,220,49
1/24/24,SKU0001,24,972.18,23332.32,0,0.0616,1,4,2,0,0,0,winter,0,1.2275202855163823,0,organic,0.9825753875486677,1.0043154783815338,0,0,0.3483690454974515,4.99,220,55
1/25/24,SKU0001,26,942.55,24506.3,0,0.0902,1,4,3,0,0,1,winter,0,1.0740306688288896,0,affiliate,1.0169610137604312,0.9525463875389327,0,0,0.32648174705515925,4.99,220,71
1/26/24,SKU0001,31,951.05,29482.55,0,0.082,1,4,4,0,0,1,winter,0,1.1053462537920073,1,organic,1.0522346363130182,0.9816403242362455,0,0,0.46482639677949056,4.99,220,111
1/27/24,SKU0001,28,933.95,26150.6,0,0.0985,1,4,5,1,0,1,winter,0,1.1274172989080233,0,affiliate,1.0536901162688372,0.961393398,0,1,0.33405288837226726,4.99,220,39
1/28/24,SKU0001,31,963.27,29861.37,0,0.0702,1,4,6,1,0,1,winter,0,0.8638873046250062,1,affiliate,1.023287492748904,1.034971631954671,0,0,0.48540547529042666,4.99,220,30
1/29/24,SKU0001,26,953.02,24778.52,0,0.0801,1,5,0,0,0,1,winter,0,1.0187089286785673,0,paid,0.9905042000938041,0.969521108,0,0,0.31794460046400785,4.99,220,96
1/30/24,SKU0001,30,1000.36,30010.8,0,0.0344,1,5,1,0,0,1,winter,0,1.0225325337184639,1,affiliate,0.9697525477042872,1.0033195987111676,0,0,0.3828610526616541,4.99,220,105
1/31/24,SKU0001,22,987.83,21732.26,0,0.0465,1,5,2,0,0,1,winter,0,0.9761700080409257,0,paid,1.0251408077194222,1.0172320421288854,0,0,0.38538819672285085,4.99,220,85
2/1/24,SKU0001,27,1016.42,27443.34,0,0.0189,2,5,3,0,0,1,winter,0,0.8360452285540636,1,affiliate,1.020889614801167,0.9828580949413903,0,1,0.4119360764033073,4.99,220,82
2/2/24,SKU0001,31,993.11,30786.41,0,0.0414,2,5,4,0,0,1,winter,0,1.0695669632809108,1,organic,1.0090863577047704,0.9748173139034617,0,0,0.30218640090980364,4.99,220,14
2/3/24,SKU0001,37,930.74,34437.38,1,0.1016,2,5,5,1,0,1,winter,0,0.7512305755338393,1,paid,1.018176456283676,0.9974350271763389,0,0,0.38979056748814933,4.99,220,41
2/4/24,SKU0001,31,1036,32116,0,0,2,5,6,1,0,1,winter,0,0.8594399852227582,1,paid,0.9840497798485133,0.956305352,0,1,0.47725844927198713,4.99,220,22
2/5/24,SKU0001,24,965.76,23178.24,0,0.0678,2,6,0,0,0,1,winter,0,0.878599278,0,paid,0.9892765089863333,0.9980291192194629,0,1,0.36736978369045503,4.99,220,56
2/6/24,SKU0001,23,975.29,22431.67,0,0.0586,2,6,1,0,0,1,winter,0,0.9381802468460069,0,paid,0.9901204330810637,0.9869412783988865,0,1,0.3726966768153577,4.99,220,58
2/7/24,SKU0001,30,981.61,29448.3,0,0.0525,2,6,2,0,0,1,winter,0,1.126163889440766,0,paid,0.9706136614514984,1.0079499113700243,0,1,0.38206866310725507,4.99,220,1
2/8/24,SKU0001,21,1030.51,21640.71,0,0.0053,2,6,3,0,0,0,winter,0,1.248502064763179,0,organic,0.973053479,0.9596041351469442,0,0,0.3727324092929221,4.99,220,46
2/9/24,SKU0001,26,962.65,25028.9,0,0.0708,2,6,4,0,0,0,winter,0,1.258344298684519,0,affiliate,0.9886228758687109,1.0130208959393496,0,0,0.3329327560450663,4.99,220,38
2/10/24,SKU0001,22,1019.11,22420.42,0,0.0163,2,6,5,1,0,0,winter,0,1.1209389067699675,0,organic,1.0735274057676694,1.0198584573931166,0,0,0.43221254885545213,4.99,220,91
2/11/24,SKU0001,30,1003.88,30116.4,0,0.031,2,6,6,1,0,0,winter,0,1.0659540801625451,1,affiliate,0.987233281,0.9826872445426171,0,0,0.36050426880977465,4.99,220,30
2/12/24,SKU0001,35,911.06,31887.1,1,0.1206,2,7,0,0,0,0,winter,0,0.6495176699762857,1,organic,0.985026653,1.007594382562373,0,0,0.4000989385504188,4.99,220,43
2/13/24,SKU0001,27,941.31,25415.37,0,0.0914,2,7,1,0,0,0,winter,0,1.1695179469002288,0,organic,1.0269406973693804,0.999016772,0,0,0.4090129677673794,4.99,220,54
2/14/24,SKU0001,23,963.58,22162.34,0,0.0699,2,7,2,0,0,0,winter,0,1.3943419850312695,0,affiliate,0.9345878073789571,1.0318688632100654,0,0,0.30265507650971907,4.99,220,68
2/15/24,SKU0001,25,990.83,24770.75,0,0.0436,2,7,3,0,0,0,winter,0,1.0679314648987952,1,affiliate,0.9951579353874573,1.0153119563042998,0,0,0.35268824301630425,4.99,220,94
2/16/24,SKU0001,38,810.77,30809.26,1,0.2174,2,7,4,0,0,0,winter,0,1.0351058972144553,1,organic,1.0009383839702468,0.9985724677189157,1,0,0.38752100675500795,4.99,220,74
2/17/24,SKU0001,41,539.34,22112.94,1,0.4794,2,7,5,1,0,0,winter,0,1.104804374027882,1,paid,1.0530965602617717,0.9656780334826757,0,0,0.39462330214263264,4.99,220,12
2/18/24,SKU0001,26,956.85,24878.1,0,0.0764,2,7,6,1,0,0,winter,0,1.109294287820911,1,affiliate,1.1045135268627846,0.9731562969206045,0,0,0.34904546051698426,4.99,220,68
2/19/24,SKU0001,42,592.7,24893.4,1,0.4279,2,8,0,0,0,0,winter,0,1.0202374502270772,2,paid,0.9991597480097478,0.9907011294927447,0,0,0.3941837169070169,4.99,220,85
2/20/24,SKU0001,24,966.17,23188.08,0,0.0674,2,8,1,0,0,0,winter,0,0.9439276200929583,1,paid,0.979288394,0.983280979,0,0,0.4226717158262011,4.99,220,43
2/21/24,SKU0001,37,779.59,28844.83,1,0.2475,2,8,2,0,0,0,winter,0,1.0542638814503964,2,affiliate,0.9864994070006112,0.9867664920875483,0,0,0.42806054209304023,4.99,220,92
2/22/24,SKU0001,21,1027.82,21584.22,0,0.0079,2,8,3,0,0,0,winter,0,0.7942316185682042,0,affiliate,1.0012007613205833,1.0228228365405012,0,0,0.37129315152101483,4.99,220,59
2/23/24,SKU0001,37,771.82,28557.34,1,0.255,2,8,4,0,0,0,winter,0,0.717636019,1,paid,0.9724474779340937,1.003813747375053,1,0,0.39067965288651907,4.99,220,118
2/24/24,SKU0001,25,976.12,24403,0,0.0578,2,8,5,1,0,0,winter,0,1.2041407961082262,0,paid,1.0036470529675827,1.0204259016092783,0,0,0.3774467941017274,4.99,220,76
2/25/24,SKU0001,27,991.56,26772.12,0,0.0429,2,8,6,1,0,1,winter,0,0.9312908004496301,0,paid,1.0257622501325716,1.0004611310829499,0,0,0.30246638833293593,4.99,220,115
2/26/24,SKU0001,24,996.11,23906.64,0,0.0385,2,9,0,0,0,1,winter,0,1.1073933214661438,0,affiliate,0.9914166328512466,0.997539951,0,0,0.39831388506897564,4.99,220,66
2/27/24,SKU0001,41,682.41,27978.81,1,0.3413,2,9,1,0,0,1,winter,0,1.233189098417445,0,affiliate,1.0496005533589323,0.9863681877982244,0,1,0.43252221149829645,4.99,220,21
2/28/24,SKU0001,40,905.67,36226.8,1,0.1258,2,9,2,0,0,1,winter,0,1.183042052441171,1,organic,0.9808271020853757,0.9762218488279228,0,0,0.2997249799213663,4.99,220,5
2/29/24,SKU0001,22,1035.59,22782.98,0,0.0004,2,9,3,0,0,1,winter,0,0.9169910937013289,0,paid,0.9818209191630575,1.0030538983494655,0,0,0.3595684535626069,4.99,220,89
