SKU,demand,demand_std,lead_time,lead_time_std,cost,order_cost
NOVACART-001,371,19,5,1.408769335978058,256,150
NOVACART-002,308,25,1,0.6593367372110197,738,150
NOVACART-003,87,36,3,1.2738729344659951,573,150
NOVACART-004,319,27,4,1.1717870032924846,885,150
NOVACART-005,275,44,2,0.3664327282775268,980,150
NOVACART-006,364,8,5,1.3646164031077304,398,150
NOVACART-007,102,41,4,1.2456947045187392,403,150
NOVACART-008,427,47,4,1.3327238491285043,35,150
NOVACART-009,382,21,1,1.1120668750063545,976,150
NOVACART-010,173,24,2,0.8398294381238839,984,150
NOVACART-011,246,48,1,0.3429732281334624,704,150
NOVACART-012,406,17,5,0.18519528814015712,700,150
NOVACART-013,396,11,1,1.1690795756980965,273,150
NOVACART-014,477,42,5,1.1499414635028893,451,150
NOVACART-015,221,42,3,1.2526416094244857,830,150
NOVACART-016,205,29,4,1.2037099677103418,897,150
NOVACART-017,452,47,1,0.38005773481529315,158,150
NOVACART-018,299,8,5,1.3290576792369277,136,150
NOVACART-019,479,31,2,0.34615124778632167,598,150
NOVACART-020,134,34,4,1.3797204204459075,857,150
NOVACART-021,383,38,5,1.3343939082108967,790,150
NOVACART-022,163,38,2,1.1979704157030684,530,150
NOVACART-023,118,23,4,1.0152951781520723,458,150
NOVACART-024,128,19,3,1.1431041393107693,859,150
NOVACART-025,196,32,5,0.9417309902061526,949,150
NOVACART-026,73,6,3,1.3733505068090759,305,150
NOVACART-027,244,15,2,0.7269438515755858,359,150
NOVACART-028,361,26,2,0.8367890146957053,676,150
NOVACART-029,139,7,1,1.4684140765886067,751,150
NOVACART-030,182,9,2,0.5228441947066791,176,150
NOVACART-031,293,5,5,1.1673587034344146,914,150
NOVACART-032,101,38,5,0.511381319416243,759,150
NOVACART-033,297,36,2,0.34259070112514195,992,150
NOVACART-034,342,30,5,0.7364486800752065,320,150
NOVACART-035,342,19,4,0.4674347886075604,223,150
NOVACART-036,134,22,4,0.2869766361507917,869,150
NOVACART-037,208,19,1,1.0475139305917143,650,150
NOVACART-038,76,13,1,0.9122006534680948,137,150
NOVACART-039,270,36,1,1.1808888534308017,358,150
NOVACART-040,374,27,4,1.3651014554971064,101,150
NOVACART-041,98,44,3,0.9639627777460501,108,150
NOVACART-042,403,37,1,0.324819406270362,499,150
NOVACART-043,342,38,2,1.2134336720299905,44,150
NOVACART-044,279,26,2,0.39891359747143285,355,150
NOVACART-045,315,33,5,0.7601440994852666,226,150
NOVACART-046,328,47,5,0.2155673967399886,738,150
NOVACART-047,95,31,4,0.6121847669996733,433,150
NOVACART-048,336,11,3,0.9432999184868112,535,150
NOVACART-049,188,26,3,1.1336972183894567,768,150
NOVACART-050,166,23,2,0.8156147926230731,156,150
NOVACART-051,115,39,5,1.12329944910319,576,150
NOVACART-052,399,44,2,0.8483899516116393,872,150
NOVACART-053,402,44,4,0.10050793975254789,622,150
NOVACART-054,61,28,2,0.23671371472935712,723,150
NOVACART-055,108,16,1,0.3211944178949273,399,150
NOVACART-056,165,27,1,0.24597868169078013,594,150
NOVACART-057,185,29,2,0.2056480351991136,116,150
NOVACART-058,194,9,3,0.6073676049140093,112,150
NOVACART-059,202,13,5,1.1061721285044128,747,150
NOVACART-060,235,10,4,1.302846284505975,258,150
NOVACART-061,93,21,5,0.14646738634196335,591,150
NOVACART-062,176,46,4,0.8276285711492009,601,150
NOVACART-063,66,44,5,1.1151130971872287,984,150
NOVACART-064,456,20,1,0.618148150311204,401,150
NOVACART-065,283,40,3,0.9587193590366989,48,150
NOVACART-066,331,21,2,0.7342502923272836,537,150
NOVACART-067,423,42,5,0.9231900929763437,558,150
NOVACART-068,251,28,2,0.6695281193391869,963,150
NOVACART-069,385,37,5,1.248864469951246,215,150
NOVACART-070,60,16,1,0.3888989357302407,305,150
NOVACART-071,158,17,3,0.596322275329141,25,150
NOVACART-072,364,16,3,0.20034468496720303,976,150
NOVACART-073,159,42,4,1.1473998241019312,150,150
NOVACART-074,263,22,5,0.13960805547963,444,150
NOVACART-075,449,11,2,0.688950643676928,172,150
NOVACART-076,382,31,2,0.31157411297289195,491,150
NOVACART-077,129,31,2,1.0477208254733614,309,150
NOVACART-078,312,41,3,0.5096616395009561,652,150
NOVACART-079,375,46,5,1.046422386182733,812,150
NOVACART-080,299,23,1,0.31974300610851103,242,150
NOVACART-081,160,8,3,1.0634499046148942,269,150
NOVACART-082,412,47,1,1.4106694038494034,932,150
NOVACART-083,259,18,2,0.7272773440671997,579,150
NOVACART-084,391,21,1,0.6673347801995291,869,150
NOVACART-085,66,17,5,0.7218335061859633,612,150
NOVACART-086,381,30,1,0.5247204047857004,316,150
NOVACART-087,336,38,3,0.5805480069387818,260,150
NOVACART-088,77,47,1,0.3060230168233886,713,150
NOVACART-089,293,24,5,0.4829731021787904,134,150
NOVACART-090,229,30,2,1.2967236286670727,199,150
NOVACART-091,370,27,5,0.693351826038304,921,150
NOVACART-092,285,45,5,0.5318283870362809,134,150
NOVACART-093,119,19,5,0.18388216118830164,710,150
NOVACART-094,289,13,1,0.36789145424207226,840,150
NOVACART-095,467,5,4,0.9005318768319256,984,150
NOVACART-096,377,20,4,1.0130447363239152,455,150
NOVACART-097,148,6,3,0.6613317658840605,396,150
NOVACART-098,108,32,5,0.2960086518291911,345,150
NOVACART-099,267,34,1,0.22192130676651628,602,150
NOVACART-100,260,23,1,0.46588892263921355,501,150
